name,jenre,title,character,year
子安武人,ゲーム,家族計画 ～心の絆～,劉家輝,2005/02/24
子安武人,漫画,魔人探偵脳噛ネウロ,ネウロ,2005/02/21
子安武人,ゲーム,新世紀勇者大戦,ビクティム・オーランド / 海,2005/02/17
子安武人,ゲーム,新選組群狼伝,キャスト,2005/02/10
子安武人,アニメ,ふたりはプリキュア Max Heart,美墨岳,2005/02/06
子安武人,アニメ,BUZZER BEATER,ギューマ,2005/02/05
子安武人,アニメ,好きなものは好きだからしょうがない!!,夜,2005/01/08
子安武人,アニメ,魔法先生ネギま! - 麻帆良学園中等部2-A -,サウザンドマスター(ナギ・スプリングフィールド),2005/01/05
子安武人,ゲーム,ドラゴンクエストVIII - 空と海と大地と呪われし姫君 -,ドルマゲス,2004/11/27
子安武人,アニメ,超生命体トランスフォーマービーストウォーズリターンズ,コンボイ,2004/11/23
子安武人,アニメ,メジャー (MAJOR),本田茂治,2004/11/13
子安武人,ゲーム,マグナカルタ,ラウル,2004/11/11
子安武人,アニメ,吟遊黙示録 マイネリーベ,アイザック,2004/11/04
子安武人,アニメ,焼きたて!!ジャぱん,黒柳亮,2004/10/12
子安武人,アニメ,機動戦士ガンダムSEED DESTINY,ネオ・ロアノーク,2004/10/09
子安武人,アニメ,リングにかけろ1,ブラック・シャフト,2004/10/07
子安武人,ゲーム,機動戦士ガンダムSEED 終わらない明日へ,ムウ・ラ・フラガ,2004/10/07
子安武人,アニメ,遊☆戯☆王 デュエルモンスターズ GX,斉王琢磨,2004/10/06
子安武人,アニメ,BLEACH (ブリーチ),ペッシェ,2004/10/05
子安武人,アニメ,サムライガン,二号丸強太,2004/10/04
子安武人,アニメ,ななみちゃん,青葉遊作,2004/10/02
子安武人,ゲーム,ケロロ軍曹 メロメロバトルロイヤル,クルル曹長,2004/09/30
子安武人,アニメ,カレイドスター 新たなる翼 -EXTRA STAGE-「笑わない すごい お姫様」,フル・フール,2004/09/24
子安武人,ゲーム,ボボボーボ・ボーボボ 爆闘ハジケ大戦,ボボボーボ・ボーボボ,2004/09/09
子安武人,アニメ,機神咆吼デモンベイン (ゲームソフト同梱OVA版),ウィンフィールド,2004/07/01
子安武人,ゲーム,機神咆吼デモンベイン(PS2版),ウィンフィールド,2004/07/01
子安武人,ゲーム,ゼノサーガ エピソードII - 善悪の彼岸 -,トニー,2004/06/24
子安武人,ゲーム,十二国記 赫々たる王道 紅緑の羽化,景麒,2004/06/17
子安武人,アニメ,SAMURAI7(サムライ7),ウキョウ,2004/06/12
子安武人,ゲーム,フルハウスキス(シリーズ),英二郎,2004/04/22
子安武人,アニメ,頭文字D Fourth Stage,高橋涼介,2004/04/17
子安武人,アニメ,APPLESEED アップルシード(映画版),ハデス,2004/04/17
子安武人,アニメ,新ゲッターロボ,安倍晴明,2004/04/09
子安武人,アニメ,ケロロ軍曹,クルル曹長 / 歌,2004/04/03
子安武人,ゲーム,ボボボーボ・ボーボボ 9極戦士ギャグ融合,ボボボーボ・ボーボボ,2004/03/25
子安武人,ゲーム,Remember11 -the age of infinity-,優希堂悟,2004/03/18
子安武人,アニメ,Vie Durant(ヴィ・デュラン),榛守(harisu),2004/02/25
子安武人,ゲーム,シャドウハーツII,ニコル,2004/02/19
子安武人,アニメ,ふたりはプリキュア,美墨岳,2004/02/01
子安武人,アニメ,エリア88,風間真,2004/01/09
子安武人,アニメ,みさきクロニクル - ダイバージェンス・イヴ -,ジャン・リュック・ルブラン,2004/01/03
子安武人,ゲーム,グローランサー4,ブリュンティール,2003/12/18
子安武人,ゲーム,ワイルドアームズ アルターコード:F,ゼット,2003/11/27
子安武人,アニメ,ボボボーボ・ボーボボ,ボーボボ,2003/11/08
子安武人,アニメ,ふたつのスピカ,ライオンさん,2003/11/01
子安武人,アニメ,ガングレイヴ,バラッド・バード・リー,2003/10/07
子安武人,アニメ,プラネテス (ΠΛΑΝΗΤΕΣ),ユーリ,2003/10/04
子安武人,アニメ,銀河鉄道物語,ブルース・J・スピード,2003/10/04
子安武人,アニメ,PAPUWA (2003年版),ハーレム,2003/09/30
子安武人,ゲーム,十二国記 紅蓮の標 黄塵の路,景麒,2003/08/28
子安武人,ゲーム,クイズマジックアカデミー (シリーズ),セリオス,2003/08
子安武人,ゲーム,Sakura～雪月華～,深海慎(ふかみ まこと) / 平将門(たいらの まさかど),2003/07/31
子安武人,アニメ,新・北斗の拳,ケンシロウ,2003/07/24
子安武人,アニメ,高橋留美子劇場,小暮祐二,2003/07/05
子安武人,アニメ,ダイバージェンス・イヴ,ジャン・リュック・ルブラン,2003/07
子安武人,アニメ,ランジェリー戦士 パピヨンローゼ(OVA版),獅子王ヒカル,2003/04/25
